id,scientific.name,family,taxon.rank,taxon.status,threat.status,life.form,habitat,vegetation.type,domain,original.search,notes,search.str,accepted.name,obs
31271,Mimosa peduncularis Bong. ex Benth.,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Campo rupestre,Cerrado,Mimosa peduncularis,,Mimosa peduncularis,Mimosa peduncularis,
100967,Mimosa pedersenii Barneby,Fabaceae,species,accepted,NA,Erva|Subarbusto,Terr�cola,Campo Limpo,Pampa,Mimosa pedersenii,,Mimosa pedersenii,Mimosa pedersenii,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa paupera paupera,not found,NA,Mimosa paupera var. paupera,
112067,Mimosa paupera Benth. var. paupera,Fabaceae,variety,accepted,NA,Erva,Terr�cola,Campo rupestre|Cerrado (lato sensu),Cerrado,Mimosa pauperavar.paupera,was misspelled,Mimosa paupera var. paupera,Mimosa paupera var. paupera,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa paupera dives,not found,NA,Mimosa paupera var. dives,
112066,Mimosa paupera Benth.,Fabaceae,species,accepted,NA,NA,NA,NA,NA,Mimosa paupera,,Mimosa paupera,Mimosa paupera,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa paucifolia scoparia,not found,NA,Mimosa paucifolia var. scoparia,
31270,Mimosa paucifolia var. scoparia Barneby,Fabaceae,variety,accepted,NA,Erva,Terr�cola,Campo rupestre,Cerrado,Mimosa paucifolia var. scoparia,,Mimosa paucifolia var. scoparia,Mimosa paucifolia var. scoparia,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa paucifolia paucifolia,not found,NA,Mimosa paucifolia var. paucifolia,
31269,Mimosa paucifolia Benth. var. paucifolia,Fabaceae,variety,accepted,NA,Erva|Subarbusto,Terr�cola,Campo rupestre|Cerrado (lato sensu),Cerrado,Mimosa paucifolia var. paucifolia,,Mimosa paucifolia var. paucifolia,Mimosa paucifolia var. paucifolia,
31268,Mimosa paucifolia Benth.,Fabaceae,species,accepted,VU,Erva,NA,Campo rupestre|Cerrado (lato sensu),NA,Mimosa paucifolia,,Mimosa paucifolia,Mimosa paucifolia,
117111,Mimosa parvipinna Benth.,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Campo Limpo,Pampa,Mimosa parvipinna,,Mimosa parvipinna,Mimosa parvipinna,
31267,Mimosa parviceps Barneby,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Campo rupestre,Cerrado,Mimosa parviceps,,Mimosa parviceps,Mimosa parviceps,
31266,Mimosa paranapiacabae Barneby,Fabaceae,species,accepted,NA,Arbusto|Subarbusto,Terr�cola,Campo de Altitude|Campo Limpo,Cerrado,Mimosa paranapiacabae,,Mimosa paranapiacabae,Mimosa paranapiacabae,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa parahybana,not found,NA,Mimosa paraibana,
83442,Mimosa paraibana Barneby,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Caatinga (stricto sensu)|Floresta Estacional Semidecidual,Caatinga|Mata Atl�ntica,Mimosa paraibana,,Mimosa paraibana,Mimosa paraibana,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa paraguariae paraguariae,not found,NA,Mimosa paraguariae var. paraguariae,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa paraguariae chacoensis,not found,NA,Mimosa paraguariae var. chacoensis,
100966,Mimosa paraguariae Micheli,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Campo Limpo|Cerrado (lato sensu),Cerrado|Mata Atl�ntica,Mimosa paraguariae,,Mimosa paraguariae,Mimosa paraguariae,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa papposa segrex,not found,NA,Mimosa papposa var. segrex,
31264,Mimosa papposa var. segrex Barneby,Fabaceae,variety,accepted,NA,Subarbusto,Terr�cola,Campo rupestre,Cerrado,Mimosa papposa var. segrex,,Mimosa papposa var. segrex,Mimosa papposa var. segrex,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa papposa papposa,not found,NA,Mimosa papposa var. papposa,
31262,Mimosa papposa Benth.,Fabaceae,species,accepted,NA,Subarbusto,NA,Campo rupestre|Cerrado (lato sensu),Cerrado,Mimosa papposa,,Mimosa papposa,Mimosa papposa,
83441,Mimosa paludosa Benth.,Fabaceae,species,accepted,NA,NA,NA,NA,Amaz�nia,Mimosa paludosa,,Mimosa paludosa,Mimosa paludosa,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa paludosa var. metadenotricha,not found,NA,Mimosa paludosa,correction: leo
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa setosa padulosa,not found,NA,Mimosa paludosa,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa setosa palidosa,not found,NA,Mimosa paludosa,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa setosa paludosa,not found,NA,Mimosa paludosa,
83441,Mimosa paludosa Benth.,Fabaceae,species,accepted,NA,NA,NA,NA,Amaz�nia,Mimosa Setosa Var paludosa,was misspelled|replaced synonym,Mimosa paludosa,Mimosa paludosa,
18836,Mimosa palmetorum Barneby,Fabaceae,species,accepted,NA,Subarbusto,Terr�cola,Campo rupestre,Cerrado,Mimosa palmetorum,,Mimosa palmetorum,Mimosa palmetorum,
31260,Mimosa pachycarpoides Malme,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Cerrado (lato sensu),Cerrado,Mimosa pachycarpoides,,Mimosa pachycarpoides,Mimosa pachycarpoides,
31259,Mimosa pabstiana Barneby,Fabaceae,species,accepted,DD,Arbusto,Terr�cola,Caatinga (stricto sensu)|Cerrado (lato sensu),Caatinga|Cerrado,Mimosa pabstiana,,Mimosa pabstiana,Mimosa pabstiana,
31258,Mimosa ourobrancoensis Burkart,Fabaceae,species,accepted,NA,Arbusto|Subarbusto,Terr�cola,Campo de Altitude|Campo rupestre,Cerrado|Mata Atl�ntica,Mimosa ourobrancoensis,,Mimosa ourobrancoensis,Mimosa ourobrancoensis,
605130,"Mimosa osmarii L. Jordão, M.P. Morim, Baumgratz & Marc. F. Simon",Fabaceae,species,accepted,NA,Erva|Subarbusto,NA,Campo rupestre|Cerrado (lato sensu),Cerrado,Mimosa osmarii,,Mimosa osmarii,Mimosa osmarii,
83440,Mimosa orthocarpa Spruce ex Benth.,Fabaceae,species,accepted,NA,Arbusto|Subarbusto,Terr�cola,Cerrado (lato sensu)|Floresta de V�rzea|Savana Amaz�nica,Amaz�nia|Cerrado,Mimosa orthocarpa,,Mimosa orthocarpa,Mimosa orthocarpa,
31256,Mimosa orthacantha Benth.,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Campo de Altitude|Cerrado (lato sensu),Cerrado|Mata Atl�ntica,Mimosa botucatuana,replaced synonym,Mimosa orthacantha,Mimosa orthacantha,
31256,Mimosa orthacantha Benth.,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Campo de Altitude|Cerrado (lato sensu),Cerrado|Mata Atl�ntica,Mimosa orthacantha,,Mimosa orthacantha,Mimosa orthacantha,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa orbignyana,not found,NA,Mimosa orbignyana,
18835,Mimosa ophthalmocentra Mart. ex Benth.,Fabaceae,species,accepted,NA,Arbusto|�rvore,Terr�cola,�rea Antr�pica|Caatinga (stricto sensu),Caatinga,Mimosa ophtalmocentra,was misspelled,Mimosa ophthalmocentra,Mimosa ophthalmocentra,
18835,Mimosa ophthalmocentra Mart. ex Benth.,Fabaceae,species,accepted,NA,Arbusto|�rvore,Terr�cola,�rea Antr�pica|Caatinga (stricto sensu),Caatinga,Mimosa ophthalmocentra,,Mimosa ophthalmocentra,Mimosa ophthalmocentra,
31254,Mimosa oligosperma Barneby,Fabaceae,species,accepted,EN,Arbusto,Terr�cola,Campo rupestre,Cerrado,Mimosa oligosperma,,Mimosa oligosperma,Mimosa oligosperma,
31253,Mimosa oligophylla Micheli,Fabaceae,species,accepted,NA,Subarbusto,Terr�cola,Campo Limpo,Mata Atl�ntica|Pampa,Mimosa oligophylla,,Mimosa oligophylla,Mimosa oligophylla,
31252,Mimosa oedoclada Barneby,Fabaceae,species,accepted,NA,Arbusto|�rvore,Terr�cola,Campo rupestre,Cerrado,Mimosa oedoclada,,Mimosa oedoclada,Mimosa oedoclada,
135818,Mimosa obstrigosa Burkart,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,NA,Mata Atl�ntica|Pampa,Mimosa obstrigosa,,Mimosa obstrigosa,Mimosa obstrigosa,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa oblonga pinetorum,not found,NA,Mimosa oblonga var. pinetorum,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa oblonga oblonga,not found,NA,Mimosa oblonga var. oblonga,
100965,Mimosa oblonga Benth.,Fabaceae,species,accepted,NA,NA,NA,NA,NA,Mimosa oblonga,,Mimosa oblonga,Mimosa oblonga,
78921,Mimosa nycteridis Barneby,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Cerrado (lato sensu),Cerrado,Mimosa nycteridis,,Mimosa nycteridis,Mimosa nycteridis,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa nuda gracilipes,not found,NA,Mimosa nuda var. gracilipes,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa nuda glaberrima,not found,NA,Mimosa nuda var. glaberrima,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa nuda angusta,not found,NA,Mimosa nuda var. angusta,
18834,Mimosa nothopteris Barneby,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Caatinga (stricto sensu),Caatinga,Mimosa nothopteris,,Mimosa nothopteris,Mimosa nothopteris,
31245,Mimosa nitens Benth.,Fabaceae,species,accepted,NA,Arbusto|Subarbusto,Terr�cola,Cerrado (lato sensu),Cerrado,Mimosa nitens,,Mimosa nitens,Mimosa nitens,
18833,Mimosa niomarlei Afr.Fern.,Fabaceae,species,accepted,DD,Erva,Terr�cola,Floresta Ombr�fila (= Floresta Pluvial),Mata Atl�ntica,Mimosa niomarlei,,Mimosa niomarlei,Mimosa niomarlei,
78919,Mimosa niederleinii Burkart,Fabaceae,species,accepted,NA,Erva,Terr�cola,Campo Limpo|Floresta Ombr�fila Mista|Vegeta��o Sobre Afloramentos Rochosos,Mata Atl�ntica,Mimosa niederleinii,,Mimosa niederleinii,Mimosa niederleinii,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa niederleinii niederleinii,not found,NA,Mimosa niederleinii,correction: leo
83437,Mimosa neptunioides Harms ex Kuntze,Fabaceae,species,accepted,NA,Subarbusto,Terr�cola,Savana Amaz�nica,Amaz�nia,Mimosa neptuniodes,was misspelled,Mimosa neptunioides,Mimosa neptunioides,
83437,Mimosa neptunioides Harms ex Kuntze,Fabaceae,species,accepted,NA,Subarbusto,Terr�cola,Savana Amaz�nica,Amaz�nia,Mimosa neptunioides,,Mimosa neptunioides,Mimosa neptunioides,
604069,Mimosa neonitens (Benth.) L.M. Borges,Fabaceae,species,accepted,NA,Arbusto,NA,Campo rupestre|Cerrado (lato sensu),Cerrado,Mimosa neonitens,,Mimosa neonitens,Mimosa neonitens,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa setosa nitens,not found,NA,Mimosa neonitens,
100964,Mimosa myuros Barneby,Fabaceae,species,accepted,VU,�rvore,Terr�cola,Floresta Ombr�fila (= Floresta Pluvial)|Floresta Ombr�fila Mista,Mata Atl�ntica,Mimosa myuros,,Mimosa myuros,Mimosa myuros,
31244,Mimosa myriophylla Bong. ex Benth.,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Campo rupestre|Floresta Ombr�fila (= Floresta Pluvial),Cerrado|Mata Atl�ntica,Mimosa myriophylla,,Mimosa myriophylla,Mimosa myriophylla,
128118,Mimosa myrioglandulosa V. F. Dutra & F. C. P. Garcia,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Campo rupestre,Cerrado,Mimosa myrioglandulosa,,Mimosa myrioglandulosa,Mimosa myrioglandulosa,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa myriadenia punctulata,not found,NA,Mimosa myriadenia var. punctulata,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa myriadenia myriadenia,not found,NA,Mimosa myriadenia var. myriadenia,
83434,Mimosa myriadenia var. egena J.F.Macbr.,Fabaceae,variety,accepted,NA,Liana/vol�vel/trepadeira,Terr�cola,Floresta de Terra Firme,Amaz�nia,Mimosa longicaulis,replaced synonym,Mimosa myriadenia var. egena,Mimosa myriadenia var. egena,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa myriadenia egena,not found,NA,Mimosa myriadenia var. egena,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa myriadenia dispersa,not found,NA,Mimosa myriadenia var. dispersa,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa myriadenia desquamata,not found,NA,Mimosa myriadenia var. desquamata,
83433,Mimosa myriadenia (Benth.) Benth.,Fabaceae,species,accepted,NA,NA,NA,NA,NA,Mimosa myriadena,was misspelled,Mimosa myriadenia,Mimosa myriadenia,
83433,Mimosa myriadenia (Benth.) Benth.,Fabaceae,species,accepted,NA,NA,NA,NA,NA,Mimosa myriadenia,,Mimosa myriadenia,Mimosa myriadenia,
100963,Mimosa murex Barneby,Fabaceae,species,accepted,NA,Subarbusto,Terr�cola,Campo de Altitude|Floresta Ombr�fila (= Floresta Pluvial),Mata Atl�ntica,Mimosa murex,,Mimosa murex,Mimosa murex,
31243,Mimosa multiplex Benth.,Fabaceae,species,accepted,NA,Arbusto|Subarbusto,Terr�cola,Campo rupestre,Cerrado,Mimosa multiplex,,Mimosa multiplex,Mimosa multiplex,
31242,Mimosa multiceps Barneby,Fabaceae,species,accepted,NA,Erva|Subarbusto,Terr�cola,Campo Limpo,Cerrado,Mimosa multiceps,,Mimosa multiceps,Mimosa multiceps,
116624,Mimosa morroensis Barneby,Fabaceae,species,accepted,NA,Subarbusto,Terr�cola,Caatinga (stricto sensu)|Campo rupestre,Caatinga|Cerrado,Mimosa morroensis,,Mimosa morroensis,Mimosa morroensis,
31240,Mimosa montis-carasae Barneby,Fabaceae,species,accepted,EN,Arbusto,Terr�cola,Campo rupestre,Cerrado,Mimosa montis-carasae,,Mimosa montis-carasae,Mimosa montis-carasae,
31239,Mimosa monticola var. schwackeana Barneby,Fabaceae,variety,accepted,NA,Arbusto,Terr�cola,Campo rupestre,Cerrado,Mimosa monticola var. schwackeana,,Mimosa monticola var. schwackeana,Mimosa monticola var. schwackeana,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa hoehneana,not found,NA,Mimosa monticola var. monticola ,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa monticola monticola,not found,NA,Mimosa monticola var. monticola,
112021,Mimosa monticola Dusén var. monticola,Fabaceae,variety,accepted,NA,Arbusto,Terr�cola,Campo de Altitude,Mata Atl�ntica,Mimosa monticola var.monticola,was misspelled,Mimosa monticola var. monticola,Mimosa monticola var. monticola,
31238,Mimosa monticola Dusén,Fabaceae,species,accepted,NA,NA,NA,NA,NA,Mimosa monticola,,Mimosa monticola,Mimosa monticola,
31237,Mimosa monacensis Barneby,Fabaceae,species,accepted,NA,Subarbusto,Terr�cola,Cerrado (lato sensu),Cerrado,Mimosa monacensis,,Mimosa monacensis,Mimosa monacensis,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa mollis,not found,NA,Mimosa mollis,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa modesta ursinoides,not found,NA,Mimosa modesta var. ursinoides,
18831,Mimosa modesta var. ursinoides (Harms) Barneby,Fabaceae,variety,accepted,NA,Erva,Terr�cola,Caatinga (stricto sensu)|Campo rupestre,Caatinga,Mimosa modesta var. ursinoides,,Mimosa modesta var. ursinoides,Mimosa modesta var. ursinoides,
18831,Mimosa modesta var. ursinoides (Harms) Barneby,Fabaceae,variety,accepted,NA,Erva,Terr�cola,Caatinga (stricto sensu)|Campo rupestre,Caatinga,Mimosa modesta var. ursinoides,,Mimosa modesta var. ursinoides,Mimosa modesta var. ursinoides,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa modesta modesta,not found,NA,Mimosa modesta var. modesta,
18829,Mimosa modesta Mart.,Fabaceae,species,accepted,NA,NA,NA,NA,NA,Mimosa modesta,,Mimosa modesta,Mimosa modesta,
129247,Mimosa mitzi V. F. Dutra & F. C. P. Garcia,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Campo rupestre,Cerrado,Mimosa mitzi,,Mimosa mitzi,Mimosa mitzi,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa misera subinermis,not found,NA,Mimosa misera var. subinermis,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa misera misera,not found,NA,Mimosa misera var. misera,
18827,Mimosa misera Benth. var. misera,Fabaceae,variety,accepted,NA,Subarbusto,Terr�cola,Caatinga (stricto sensu),Caatinga,Mimosa remansoana,replaced synonym,Mimosa misera var. misera,Mimosa misera var. misera,
18826,Mimosa misera Benth.,Fabaceae,species,accepted,NA,NA,NA,NA,NA,Mimosa misera,,Mimosa misera,Mimosa misera,
18825,Mimosa miranda Barneby,Fabaceae,species,accepted,NA,Subarbusto,Terr�cola,�rea Antr�pica|Restinga,Mata Atl�ntica,Mimosa miranda,,Mimosa miranda,Mimosa miranda,
25672,Mimosa minarum Barneby,Fabaceae,species,accepted,NA,Subarbusto,Terr�cola,Campo rupestre,Cerrado,Mimosa minarum,,Mimosa minarum,Mimosa minarum,
25672,Mimosa minarum Barneby,Fabaceae,species,accepted,NA,Subarbusto,Terr�cola,Campo rupestre,Cerrado,Mimosa minorum,was misspelled,Mimosa minarum,Mimosa minarum,
31229,Mimosa millefoliata Scheele,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,NA,Cerrado,Mimosa millefoliata,,Mimosa millefoliata,Mimosa millefoliata,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa micropteris pungens,not found,NA,Mimosa micropteris var. pungens,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa moicropteris pungens,not found,NA,Mimosa micropteris var. pungens,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa micropteris micropteris,not found,NA,Mimosa micropteris var. micropteris,
31227,Mimosa micropteris Benth. var. micropteris,Fabaceae,variety,accepted,NA,Arbusto,Terr�cola,Campo rupestre|Cerrado (lato sensu),Cerrado,Mimosa micropteris var. micropteris,,Mimosa micropteris var. micropteris,Mimosa micropteris var. micropteris,
31226,Mimosa micropteris Benth.,Fabaceae,species,accepted,NA,Arbusto|�rvore,Terr�cola,Campo rupestre|Cerrado (lato sensu),Cerrado|Mata Atl�ntica,Mimosa micropteris,,Mimosa micropteris,Mimosa micropteris,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa microcephala communis,not found,NA,Mimosa microcephala var. communis,
116585,Mimosa microcephala var. cataractae (Ducke) Barneby,Fabaceae,variety,accepted,NA,Arbusto,Terr�cola,Floresta Ciliar ou Galeria,Amaz�nia,Mimosa cataractae,replaced synonym,Mimosa microcephala var. cataractae,Mimosa microcephala subsp. cataractae,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa microcephala cataractae,not found,NA,Mimosa microcephala subsp. cataractae,
83432,Mimosa microcephala Humb. & Bonpl. ex Willd.,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Savana Amaz�nica|Vegeta��o Sobre Afloramentos Rochosos,Amaz�nia,Mimosa microcephala,,Mimosa microcephala,Mimosa microcephala,
31223,Mimosa microcarpa Benth.,Fabaceae,species,accepted,NA,Arbusto|Subarbusto,Terr�cola,Campo rupestre,Cerrado,Mimosa microcarpa,,Mimosa microcarpa,Mimosa microcarpa,
18824,Mimosa mensicola Barneby,Fabaceae,species,accepted,EN,Arbusto,Terr�cola,�rea Antr�pica|Campo rupestre|Cerrado (lato sensu),Cerrado,Mimosa mensicola,,Mimosa mensicola,Mimosa mensicola,
18823,Mimosa melanocarpa Benth.,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Cerrado (lato sensu),Cerrado,Mimosa melanocarpa,,Mimosa melanocarpa,Mimosa melanocarpa,
18823,Mimosa melanocarpa Benth.,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Cerrado (lato sensu),Cerrado,Mimosa melonocarpa,was misspelled,Mimosa melanocarpa,Mimosa melanocarpa,
18822,Mimosa medioxima Barneby,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,�rea Antr�pica,Mata Atl�ntica,Mimosa medioxima,,Mimosa medioxima,Mimosa medioxima,
31220,Mimosa maracayuensis Chodat & Hassl.,Fabaceae,species,accepted,NA,Erva|Subarbusto,Terr�cola,Campo Limpo|Cerrado (lato sensu)|Floresta Ombr�fila Mista,Cerrado|Mata Atl�ntica,Mimosa maracayuensis,,Mimosa maracayuensis,Mimosa maracayuensis,
31220,Mimosa maracayuensis Chodat & Hassl.,Fabaceae,species,accepted,NA,Erva|Subarbusto,Terr�cola,Campo Limpo|Cerrado (lato sensu)|Floresta Ombr�fila Mista,Cerrado|Mata Atl�ntica,Mimosa maracayüensis,was misspelled,Mimosa maracayuensis,Mimosa maracayuensis,
31220,Mimosa maracayuensis Chodat & Hassl.,Fabaceae,species,accepted,NA,Erva|Subarbusto,Terr�cola,Campo Limpo|Cerrado (lato sensu)|Floresta Ombr�fila Mista,Cerrado|Mata Atl�ntica,Mimosa maracuyensis,was misspelled,Mimosa maracayuensis,Mimosa maracayuensis,
31219,Mimosa manidea Barneby,Fabaceae,species,accepted,NT,Arbusto,Terr�cola,Campo rupestre|Cerrado (lato sensu),Cerrado,Mimosa manidea,,Mimosa manidea,Mimosa manidea,
31218,Mimosa maguirei Barneby,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Campo rupestre,Cerrado,Mimosa maguirei,,Mimosa maguirei,Mimosa maguirei,
83428,Mimosa macropogon Barneby,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Savana Amaz�nica,Amaz�nia,Mimosa macropogon,,Mimosa macropogon,Mimosa macropogon,
31217,Mimosa macrocephala Benth.,Fabaceae,species,accepted,NA,Subarbusto,Terr�cola,Campo Limpo|Campo rupestre,Cerrado,Mimosa macrocephala,,Mimosa macrocephala,Mimosa macrocephala,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa macedoana macedoana,not found,NA,Mimosa macedoana var. macedoana,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa macedoana glabrescens,not found,NA,Mimosa macedoana var. glabrescens,
31214,Mimosa macedoana Burkart,Fabaceae,species,accepted,EN,NA,NA,NA,NA,Mimosa macedoana,,Mimosa macedoana,Mimosa macedoana,
135250,Mimosa lupinoides Chodat & Hassl.,Fabaceae,species,accepted,NA,Subarbusto,Terr�cola,Cerrado (lato sensu),Cerrado,Mimosa lupinoides,,Mimosa lupinoides,Mimosa lupinoides,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa insidiosoides,not found,NA,Mimosa lundiana ,
100962,Mimosa lundiana Benth.,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Floresta Ombr�fila (= Floresta Pluvial),Mata Atl�ntica,Mimosa lundiana,,Mimosa lundiana,Mimosa lundiana,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa luciana,not found,NA,Mimosa luciana,accepted name
129249,Mimosa longistipula V.F. Dutra & F.C.P. Garcia,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Campo rupestre,Cerrado,Mimosa longistipula,,Mimosa longistipula,Mimosa longistipula,
31213,Mimosa longipes Benth.,Fabaceae,species,accepted,NA,Subarbusto,Terr�cola,Campo Limpo|Cerrado (lato sensu),Cerrado,Mimosa longipes,,Mimosa longipes,Mimosa longipes,
31212,Mimosa longepedunculata Taub.,Fabaceae,species,accepted,NA,�rvore,Terr�cola,Campo rupestre|Cerrado (lato sensu),Cerrado,Mimosa longepedunculata,,Mimosa longepedunculata,Mimosa longepedunculata,
31211,Mimosa lithoreas Barneby,Fabaceae,species,accepted,EN,Subarbusto,Terr�cola,Campo Limpo|Campo rupestre,Cerrado,Mimosa lithoreas,,Mimosa lithoreas,Mimosa lithoreas,
18821,Mimosa lewisii Barneby,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Caatinga (stricto sensu)|Campo rupestre|Restinga,Caatinga|Mata Atl�ntica,Mimosa lewisii,,Mimosa lewisii,Mimosa lewisii,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa leptocarpa,not found,NA,Mimosa leptocarpa,
18820,Mimosa leptantha Benth.,Fabaceae,species,accepted,DD,Subarbusto,Terr�cola,Caatinga (stricto sensu)|Restinga,Caatinga,Mimosa leptantha,,Mimosa leptantha,Mimosa leptantha,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa leprosa parviceps,not found,NA,Mimosa leprosa var. parviceps,
31208,Mimosa leprosa var. parviceps Barneby,Fabaceae,variety,accepted,NA,Arbusto,Terr�cola,Campo rupestre,Cerrado,Mimosa leprosa var. parviceps,,Mimosa leprosa var. parviceps,Mimosa leprosa var. parviceps,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa leprosa leprosa,not found,NA,Mimosa leprosa var. leprosa,
31207,Mimosa leprosa (Benth.) J.F.Macbr. var. leprosa,Fabaceae,variety,accepted,NA,Arbusto,Terr�cola,Campo rupestre,Cerrado,Mimosa leprosa var. leprosa,,Mimosa leprosa var. leprosa,Mimosa leprosa var. leprosa,
31206,Mimosa leprosa (Benth.) J.F.Macbr.,Fabaceae,species,accepted,EN,NA,NA,NA,NA,Mimosa leprosa,,Mimosa leprosa,Mimosa leprosa,
100961,Mimosa lepidorepens Burkart,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Campo de Altitude,Mata Atl�ntica,Mimosa lepidorepens,,Mimosa lepidorepens,Mimosa lepidorepens,
78914,Mimosa lepidophora Rizzini,Fabaceae,species,accepted,NT,Arbusto,Terr�cola,Caatinga (stricto sensu)|Cerrado (lato sensu),Caatinga|Cerrado,Mimosa lepidophora,,Mimosa lepidophora,Mimosa lepidophora,
31204,Mimosa leiocephala Benth.,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Campo rupestre|Cerrado (lato sensu),Cerrado,Mimosa leiocephala,,Mimosa leiocephala,Mimosa leiocephala,
78913,Mimosa laticifera Rizzini & A.Mattos,Fabaceae,species,accepted,NA,Arbusto|�rvore,Terr�cola,Cerrado (lato sensu),Cerrado,Mimosa lacticifera,was misspelled,Mimosa laticifera,Mimosa laticifera,
78913,Mimosa laticifera Rizzini & A.Mattos,Fabaceae,species,accepted,NA,Arbusto|�rvore,Terr�cola,Cerrado (lato sensu),Cerrado,Mimosa laticifera,,Mimosa laticifera,Mimosa laticifera,
78913,Mimosa laticifera Rizzini & A.Mattos,Fabaceae,species,accepted,NA,Arbusto|�rvore,Terr�cola,Cerrado (lato sensu),Cerrado,Mimosa obovata,replaced synonym,Mimosa laticifera,Mimosa laticifera,
117117,Mimosa lasiocephala Benth.,Fabaceae,species,accepted,NA,Desconhecida,Terr�cola,NA,Pampa,Mimosa lasiocephala,,Mimosa lasiocephala,Mimosa lasiocephala,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa lanuginosa lanuginosa,not found,NA,Mimosa lanuginosa var. lanuginosa ,
