id,scientific.name,family,taxon.rank,taxon.status,threat.status,life.form,habitat,vegetation.type,domain,original.search,notes,search.str,accepted.name,obs
127845,Mimosa brevipetiolata Burkart,Fabaceae,species,accepted,NA,NA,NA,NA,NA,Mimosa brevipetiolata,,Mimosa brevipetiolata,Mimosa brevipetiolata,
31085,Mimosa brevipes Benth.,Fabaceae,species,accepted,NA,Subarbusto,Terr�cola,Cerrado (lato sensu),Cerrado,Mimosa brevipes,,Mimosa brevipes,Mimosa brevipes,
126536,Mimosa bracteolaris Benth.,Fabaceae,species,accepted,NA,Erva,Terr�cola,Floresta Ombr�fila Mista,Mata Atl�ntica|Pampa,Mimosa bracteolaris,,Mimosa bracteolaris,Mimosa bracteolaris,
18773,Mimosa brachycarpa Benth.,Fabaceae,species,accepted,NA,Arbusto|Subarbusto,Terr�cola,Campo rupestre|Cerrado (lato sensu),Cerrado,Mimosa brachycarpa,,Mimosa brachycarpa,Mimosa brachycarpa,
18772,Mimosa borboremae Harms,Fabaceae,species,accepted,NA,Erva,Terr�cola,Vegeta��o Sobre Afloramentos Rochosos,Caatinga,Mimosa borboremae,,Mimosa borboremae,Mimosa borboremae,
117080,Mimosa bonplandii (Hook. & Arn.) Benth.,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Campo Limpo,Pampa,Mimosa bonplandii,,Mimosa bonplandii,Mimosa bonplandii,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa bombycina bombycina,not found,NA,Mimosa bombycina var. bombycina,
31080,Mimosa bombycina Barneby,Fabaceae,species,accepted,EN,NA,NA,NA,NA,Mimosa bombycina,,Mimosa bombycina,Mimosa bombycina,
100942,Mimosa bocainae Barneby,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Campo de Altitude,Mata Atl�ntica,Mimosa bocainae,,Mimosa bocainae,Mimosa bocainae,
18771,Mimosa blanchetii Benth.,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Campo rupestre|Cerrado (lato sensu),Caatinga|Cerrado,Mimosa blanchetii,,Mimosa blanchetii,Mimosa blanchetii,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa flexuosa,not found,NA,Mimosa biuncifera,
31078,Mimosa bispiculata Barneby,Fabaceae,species,accepted,NA,�rvore|Subarbusto,Terr�cola,Campo rupestre,Cerrado,Mimosa bispiculata,,Mimosa bispiculata,Mimosa bispiculata,
31077,Mimosa bipennatula Barneby,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Cerrado (lato sensu),Cerrado,Mimosa bipennatula,,Mimosa bipennatula,Mimosa bipennatula,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa bimucronata bimucronata,not found,NA,Mimosa bimucronata,
18769,Mimosa bimucronata (DC.) Kuntze,Fabaceae,species,accepted,NA,NA,NA,NA,NA,Mimosa bimucronata,,Mimosa bimucronata,Mimosa bimucronata,
18770,Mimosa bimucronata (DC.) Kuntze var. bimucronata,Fabaceae,variety,accepted,NA,Arbusto|�rvore,Terr�cola,Cerrado (lato sensu)|Floresta Estacional Semidecidual|Floresta Ombr�fila (= Floresta Pluvial)|Restinga,Caatinga|Cerrado|Mata Atl�ntica,Mimosa bimucronata var. bimucronata,,Mimosa bimucronata var. bimucronata,Mimosa bimucronata,
18769,Mimosa bimucronata (DC.) Kuntze,Fabaceae,species,accepted,NA,NA,NA,NA,NA,Mimosa bimucrunata,was misspelled,Mimosa bimucronata,Mimosa bimucronata,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa bifurca reducta,not found,NA,Mimosa bifurca var. reducta,
